1. 2(2,4) 4(2,3,4,5,6) 576.63
2. 2(7) 4(1,2,3,4,5,6) 574.34
3. 2(1,3,10) 4(3,4,5,6) 573.57
4. 2(3,5,6) 4(3,4,5,6) 570.53
5. 2(1,7) 4(2,3,4,5,6) 570.49
6. 2(2,7) 4(2,3,4,5,6) 570.49
7. 2(1,2,6) 4(3,4,5,6) 569.73
8. 2(1,4,5) 4(3,4,5,6) 569.73
9. 2(1,3,6) 4(3,4,5,6) 569.24
10. 2(1,4,10) 4(3,4,5,6) 569.24
11. 2(3,4) 4(2,3,4,5,6) 569.2
12. 2(1,5,7) 4(3,4,5,6) 567.9
13. 2(1,6,8) 4(3,4,5,6) 567.9
14. 2(1,4,5,8) 4(4,5,6) 567.52
15. 2(2,3,5,6) 4(4,5,6) 567.52
16. 2(1,4,9,10) 4(3,4,5) 567.42
17. 2(1,2,10,11) 4(3,4,5) 567.42
18. 2(1,7,9) 4(2,3,4,5) 567.39
19. 2(2,7,10) 4(2,3,4,5) 567.39
20. 2(2,11) 4(2,3,4,5,6) 567.38
21. 2(1,3,10,11) 4(3,4,5) 566.93
22. 2(1,4,10,12) 4(3,4,5) 566.93
23. 2(1,5,6,8) 4(4,5,6) 566.62
24. 2(2,5,6,8) 4(4,5,6) 566.62
25. 2(1,2,7,9,10) 4(4,5) 566.07
26. 2(1,3,5,9,11) 4(4,5) 566.07
27. 2(2,4,5,10,12) 4(4,5) 566.07
28. 2(1,3,7,9,10) 4(3,5) 565.97
29. 2(1,2,7,10,12) 4(3,5) 565.97
30. 2(1,3,5,8,10,12) 4(5) 565.91
31. 2(3,9,11) 4(2,3,4,5) 565.62
32. 2(1,3,10,12) 4(3,4,5) 565.55
33. 2(2,4,6) 4(3,4,5,6) 565.3
34. 2(4,5,6) 4(3,4,5,6) 565.3
35. 2(1,2,5,7) 4(4,5,6) 564.9
36. 2(1,2,6,8) 4(4,5,6) 564.9
37. 2(4,9,11) 4(2,3,4,5) 564.72
38. 2(1,2,5,9,11) 4(4,5) 564.37
39. 2(2,4,5,9,10) 4(4,5) 564.37
40. 2(2,4,5,9,11) 4(4,5) 564.27
41. 2(1,5,6) 4(3,4,5,6) 564.02
42. 2(1,3,6,9) 4(3,4,5) 563.9
43. 2(1,2,7,10) 4(3,4,5) 563.9
44. 2(1,7,9,10) 4(3,4,5) 563.9
45. 2(2,6,10,12) 4(3,4,5) 563.9
46. 2(1,2,4,9,10) 4(4,5) 563.88
47. 2(1,2,9,10,11) 4(4,5) 563.88
48. 2(1,2,7,8,9,10) 4(5) 563.77
49. 2(1,5,6,12) 4(3,4,5) 563.48
50. 2(1,5,7,10) 4(3,4,5) 563.48
51. 2(1,2,6,9,12) 4(4,5) 563.44
52. 2(2,3,6,9,10) 4(4,5) 563.44
53. 2(5,7) 4(2,3,4,5,6) 563.44
54. 2(1,3,9,11) 4(3,4,5) 563.41
55. 2(1,3,7,10,12) 4(3,5) 563.3
56. 2(1,2,7) 4(3,4,5,6) 563.1
57. 2(2,3,6) 4(3,4,5,6) 563.1
58. 2(3,4,5) 4(3,4,5,6) 563.1
59. 2(1,5,11) 4(3,4,5,6) 563.1
60. 2(1,4,9,11) 4(3,4,5) 563.0
61. 2(2,4,10,11) 4(3,4,5) 563.0
62. 2(2,10,11) 4(2,3,4,5) 563.0
63. 2(2,11,12) 4(2,3,4,5) 563.0
64. 2(1,3,11) 4(3,4,5,6) 562.61
65. 2(1,7,10) 4(3,4,5,6) 562.61
66. 2(1,11) 4(2,3,4,5,6) 562.57
67. 2(3,11) 4(2,3,4,5,6) 562.57
68. 2(2,4,5,6) 4(4,5,6) 561.81
69. 2(2,4,5,8) 4(4,5,6) 561.81
70. 2(2,5,6,9) 4(4,5,6) 561.81
71. 2(1,3,6,10) 4(3,4,5) 561.71
72. 2(1,6,10,12) 4(3,4,5) 561.71
73. 2(2,7,9) 4(2,3,4,5) 561.68
74. 2(1,2,6,12) 4(3,4,5) 561.27
75. 2(1,6,9,12) 4(3,4,5) 561.27
76. 2(2,3,6,10) 4(3,4,5) 561.27
77. 2(3,6,9,10) 4(3,4,5) 561.27
78. 2(2,5,6,7,9) 4(4,5) 561.23
79. 2(1,2,4,5) 4(4,5,6) 561.01
80. 2(1,2,5,6) 4(4,5,6) 561.01
81. 2(1,2,6,7,8,9,11)  560.92
82. 2(2,3,5,6,7,9,11)  560.92
83. 2(1,2,7,9) 4(4,5,6) 560.89
84. 2(3,5,6,9) 4(4,5,6) 560.89
85. 2(1,2,7,10) 4(4,5,6) 560.89
86. 2(4,5,8,10) 4(4,5,6) 560.89
87. 2(1,3,5,6,9) 4(4,5) 560.84
88. 2(2,3,5,6,9) 4(4,5) 560.84
89. 2(2,5,6,9,12) 4(4,5) 560.84
