1. 2(5,7) 4(1,2,3,4,5,6) 568.13
2. 2(1,2,7) 4(2,3,4,5,6) 564.6
3. 2(2,7) 4(1,2,3,4,5,6) 564.52
4. 2(7,9) 4(1,2,3,4,5,6) 564.52
5. 2(1,3,9,11) 4(2,3,4,5) 564.51
6. 2(1,3,11) 4(2,3,4,5,6) 564.24
7. 2(2,4,11) 4(2,3,4,5,6) 563.56
8. 2(1,3,5,6) 4(3,4,5,6) 563.31
9. 2(2,4,9,11) 4(2,3,4,5) 563.16
10. 2(1,2,7,10) 4(3,4,5,6) 562.62
11. 2(1,3,5,11) 4(3,4,5,6) 562.62
12. 2(1,2,11) 4(2,3,4,5,6) 562.27
13. 2(2,3,11) 4(2,3,4,5,6) 562.27
14. 2(2,6,7) 4(2,3,4,5,6) 561.28
15. 2(1,3,4,10) 4(3,4,5,6) 560.98
16. 2(1,3,6,10) 4(3,4,5,6) 560.98
17. 2(1,2,6,12) 4(3,4,5,6) 560.65
18. 2(1,4,5,12) 4(3,4,5,6) 560.65
19. 2(2,3,6,10) 4(3,4,5,6) 560.65
20. 2(3,4,5,10) 4(3,4,5,6) 560.65
21. 2(1,2,11,12) 4(2,3,4,5) 560.58
22. 2(2,4,5,6) 4(3,4,5,6) 560.36
23. 2(2,4,7) 4(2,3,4,5,6) 560.32
24. 2(1,3,7) 4(2,3,4,5,6) 560.32
25. 2(6,7) 4(1,2,3,4,5,6) 560.24
26. 2(2,4,5,8,10) 4(4,5,6) 560.01
27. 2(2,3,5,6,9) 4(4,5,6) 560.01
28. 2(1,3,6,9,10) 4(3,4,5) 559.94
29. 2(1,2,6,10,12) 4(3,4,5) 559.94
30. 2(1,7,9) 4(2,3,4,5,6) 559.62
31. 2(2,7,10) 4(2,3,4,5,6) 559.62
32. 2(1,3,9,10,11) 4(3,4,5) 559.57
33. 2(2,3,4) 4(2,3,4,5,6) 559.35
34. 2(2,4,5,6,8) 4(4,5,6) 559.34
35. 2(2,4,5,6,9) 4(4,5,6) 559.34
36. 2(4,5,7) 4(2,3,4,5,6) 559.31
37. 2(3,5,7) 4(2,3,4,5,6) 559.31
38. 2(2,5,6,7) 4(3,4,5,6) 558.99
39. 2(4,5,6,8) 4(3,4,5,6) 558.99
40. 2(1,3,6,10,12) 4(3,4,5) 558.9
41. 2(1,2,3,9,10,11) 4(4,5) 558.88
42. 2(1,2,4,9,10,12) 4(4,5) 558.88
43. 2(1,3,5,7,10,12) 4(3,5) 558.8
44. 2(1,2,5,6,8) 4(4,5,6) 558.74
45. 2(1,2,6,7) 4(3,4,5,6) 558.7
46. 2(3,4,5,6) 4(3,4,5,6) 558.7
47. 2(1,4,5,11) 4(3,4,5,6) 558.7
48. 2(2,4,6,10) 4(3,4,5,6) 558.7
49. 2(2,6,7,9) 4(2,3,4,5) 558.61
50. 2(1,4,9,11) 4(2,3,4,5) 558.26
51. 2(3,4,9,11) 4(2,3,4,5) 558.26
52. 2(1,2,5,7,9) 4(4,5,6) 558.04
53. 2(1,2,6,8,9) 4(4,5,6) 558.04
54. 2(1,2,5,7,10) 4(4,5,6) 558.04
55. 2(1,2,6,8,10) 4(4,5,6) 558.04
56. 2(1,5,6,7) 4(3,4,5,6) 558.03
57. 2(1,5,6,8) 4(3,4,5,6) 558.03
58. 2(1,2,3,6) 4(3,4,5,6) 557.74
59. 2(1,3,4,5) 4(3,4,5,6) 557.74
60. 2(1,4,9,10,12) 4(3,4,5) 557.6
61. 2(1,2,10,11,12) 4(3,4,5) 557.6
62. 2(1,2,7,9,10) 4(3,4,5) 557.29
63. 2(1,3,6,9,11) 4(3,4,5) 557.29
64. 2(2,4,6,10,12) 4(3,4,5) 557.29
65. 2(1,2,6,9,11) 4(3,4,5) 556.98
66. 2(2,4,6,9,10) 4(3,4,5) 556.98
67. 2(1,2,5,7) 4(3,4,5,6) 556.74
68. 2(1,4,5,7) 4(3,4,5,6) 556.74
69. 2(1,4,6,8) 4(3,4,5,6) 556.74
70. 2(1,2,6,11) 4(3,4,5,6) 556.74
71. 2(3,5,6,10,12) 4(3,4,5) 556.62
72. 2(1,3,5,6,9,12) 4(4,5) 556.6
73. 2(2,3,5,6,9,11) 4(4,5) 556.6
74. 2(2,4,5,6,9,12) 4(4,5) 556.6
75. 2(2,3,5,6,10,12) 4(4,5) 556.6
76. 2(1,3,5,7) 4(3,4,5,6) 556.37
77. 2(1,3,6,8) 4(3,4,5,6) 556.37
78. 2(1,5,6,12) 4(3,4,5,6) 556.37
79. 2(1,5,7,10) 4(3,4,5,6) 556.37
80. 2(1,6,8,10) 4(3,4,5,6) 556.37
81. 2(3,5,6,10) 4(3,4,5,6) 556.37
